UID          PID    PPID  C STIME TTY          TIME CMD
sean        1557    1295  0 09:15 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
sean        1563    1295  0 09:15 ?        00:00:00 /usr/libexec/evolution-source-registry
sean        1568    1306  0 09:15 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
sean        1573    1295  0 09:15 ?        00:00:00 /usr/libexec/evolution-calendar-factory
sean        1575    1295  0 09:15 ?        00:00:00 /usr/libexec/xdg-desktop-portal
sean        1581    1295  0 09:15 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
sean        1593    1295  0 09:15 ?        00:00:00 /usr/libexec/dconf-service
sean        1594    1295  0 09:15 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
sean        1612    1320  0 09:15 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
sean        1618    1295  0 09:15 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
sean        1622    1295  0 09:15 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
sean        1630    1295  0 09:15 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
sean        1631    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-a11y-settings
sean        1633    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-color
sean        1635    1630  0 09:15 ?        00:00:03 /usr/bin/ibus-daemon --panel disable
sean        1637    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-datetime
sean        1638    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-housekeeping
sean        1644    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-keyboard
sean        1647    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-media-keys
sean        1648    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-power
sean        1656    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-print-notifications
sean        1661    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-rfkill
sean        1662    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
sean        1663    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-sharing
sean        1665    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-smartcard
sean        1668    1635  0 09:15 ?        00:00:00 /usr/libexec/ibus-memconf
sean        1669    1635  0 09:15 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
sean        1678    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-sound
sean        1681    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-wacom
sean        1698    1295  0 09:15 ?        00:00:00 /usr/libexec/ibus-portal
sean        1716    1428  0 09:15 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
sean        1730    1428  0 09:15 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
sean        1785    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-printer
sean        1797    1635  0 09:15 ?        00:00:01 /usr/libexec/ibus-engine-simple
sean        1815    1295  0 09:15 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
sean        1828    1295  0 09:15 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
sean        1898    1295  0 09:15 ?        00:00:00 /usr/libexec/gvfsd-metadata
sean        1932    1448  0 09:15 ?        00:00:06 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.J02F71 -listen 4 -listen 5 -displayfd 6 -initfd 7
sean        1936    1295  0 09:15 ?        00:00:00 /usr/libexec/gsd-xsettings
sean        1960    1295  0 09:15 ?        00:00:00 /usr/libexec/ibus-x11
sean        1978    1428  0 09:16 ?        00:00:00 update-notifier
sean        2008    1295  0 09:16 ?        00:00:01 /usr/bin/nautilus --gapplication-service
sean        2155    1295  0 09:16 ?        00:00:08 /usr/libexec/gnome-terminal-server
sean        2173    2155  0 09:16 pts/0    00:00:00 bash
root        2327       1  0 09:20 ?        00:00:02 /usr/lib/snapd/snapd
sean        2622    1448  1 09:25 ?        00:01:15 /snap/firefox/2800/usr/lib/firefox/firefox
sean        2872    2622  0 09:25 ?        00:00:00 /snap/firefox/2800/usr/lib/firefox/firefox -contentproc -parentBuildID 20230619192801 -prefsLen 19196 -prefMapSize 231847 -appDir /snap/firefox/2800/usr/lib/firefox/browser {8e126877-f361-4c8d-a0db-afc76ad3fd4c} 2622 true socket
sean        2948    2622  0 09:25 ?        00:00:00 /snap/firefox/2800/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 21529 -prefMapSize 231847 -jsInitLen 236400 -parentBuildID 20230619192801 -appDir /snap/firefox/2800/usr/lib/firefox/browser {188eca2f-b01f-4e5f-b7ff-306b31ab0912} 2622 true tab
sean        2972    2622  0 09:25 ?        00:00:06 /snap/firefox/2800/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 22728 -prefMapSize 231847 -jsInitLen 236400 -parentBuildID 20230619192801 -appDir /snap/firefox/2800/usr/lib/firefox/browser {e526ccf5-5bfb-417f-9329-4050ad2b1c05} 2622 true tab
sean        3007    1295  0 09:25 ?        00:00:00 /usr/bin/snap userd
sean        3661    2622  0 09:25 ?        00:00:08 /snap/firefox/2800/usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 28332 -prefMapSize 231847 -jsInitLen 236400 -parentBuildID 20230619192801 -appDir /snap/firefox/2800/usr/lib/firefox/browser {59c6b903-fecf-496d-a90f-63e21df87172} 2622 true tab
sean        3731    2622  0 09:25 ?        00:00:00 /snap/firefox/2800/usr/lib/firefox/firefox -contentproc -parentBuildID 20230619192801 -prefsLen 31584 -prefMapSize 231847 -appDir /snap/firefox/2800/usr/lib/firefox/browser {245f4366-2309-4bc0-baac-1a066ec5b73e} 2622 true rdd
sean        3737    2622  0 09:25 ?        00:00:00 /snap/firefox/2800/usr/lib/firefox/firefox -contentproc -parentBuildID 20230619192801 -sandboxingKind 0 -prefsLen 31584 -prefMapSize 231847 -appDir /snap/firefox/2800/usr/lib/firefox/browser {c32f705a-ab9f-49f1-bad0-d1098cf10f29} 2622 true utility
sean        3911    2622  0 09:28 ?        00:00:04 /snap/firefox/2800/usr/lib/firefox/firefox -contentproc -childID 9 -isForBrowser -prefsLen 32301 -prefMapSize 231847 -jsInitLen 236400 -parentBuildID 20230619192801 -appDir /snap/firefox/2800/usr/lib/firefox/browser {34efae4a-6b34-43d2-94db-cfef0cc33bfb} 2622 true tab
sean        3985    2622  0 09:29 ?        00:00:00 /snap/firefox/2800/usr/lib/firefox/firefox -contentproc -childID 12 -isForBrowser -prefsLen 32357 -prefMapSize 231847 -jsInitLen 236400 -parentBuildID 20230619192801 -appDir /snap/firefox/2800/usr/lib/firefox/browser {20645b2e-5538-4e26-8e7f-522a5ef4bc26} 2622 true tab
root        4064       1  0 09:42 ?        00:00:01 /usr/libexec/fwupd/fwupd
root        4090       1  0 09:42 ?        00:00:00 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
sean        4234    2622  0 09:59 ?        00:00:00 /snap/firefox/2800/usr/lib/firefox/firefox -contentproc -childID 13 -isForBrowser -prefsLen 32612 -prefMapSize 231847 -jsInitLen 236400 -parentBuildID 20230619192801 -appDir /snap/firefox/2800/usr/lib/firefox/browser {42c9f161-c10f-4a93-80ff-04e81367bb1e} 2622 true tab
sean        4238    2622  0 09:59 ?        00:00:00 /snap/firefox/2800/usr/lib/firefox/firefox -contentproc -childID 14 -isForBrowser -prefsLen 32612 -prefMapSize 231847 -jsInitLen 236400 -parentBuildID 20230619192801 -appDir /snap/firefox/2800/usr/lib/firefox/browser {ea156aa5-067f-4cd1-b753-fd2cd982a954} 2622 true tab
root        4354       2  0 10:10 ?        00:00:00 [kworker/1:0-events]
root        4502       2  0 10:32 ?        00:00:00 [kworker/u4:0-events_unbound]
root        4535       2  0 10:36 ?        00:00:01 [kworker/0:2-events]
root        4553       2  0 10:39 ?        00:00:00 [kworker/u4:2-events_power_efficient]
sean        4581    1448  0 10:53 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:0:0:0
root        4616       2  0 10:53 ?        00:00:00 [kworker/u4:3-events_power_efficient]
root        4623       2  0 10:54 ?        00:00:00 [kworker/0:0-events]
sean        4898    2173  0 11:01 pts/0    00:00:00 ps -ef
